run_id,teacher,condition,recipe,seed,best_epoch,logged_acc,recomputed_acc,acc_mismatch_pp,acc_mismatch_flag,ece,mce,brier,nll
stage1_baseline_swa200,Stage1,baseline,400e_swa200,42,145,89.66753585397653,89.66753585397653,0.0,False,0.05811642995286332,0.2933062016963959,0.1729847974346814,0.39649662375450134
stage1_gate_swa200,Stage1,gate,400e_swa200,42,327,89.56975228161669,89.56975228161669,0.0,False,0.06776755306058632,0.30721695267635846,0.17580601707865576,0.4164658784866333
stage1_g2g_kl_swa200,Stage1,g2g_kl,400e_swa200,42,285,90.09126466753585,90.09126466753585,0.0,False,0.06230867649228199,0.3145062327384949,0.16775431842770405,0.4025614261627197
stage1_logit_std_swa200,Stage1,logit_std,400e_swa200,42,300,89.30899608865711,89.30899608865711,0.0,False,0.18360449778792753,0.31800761901823615,0.23153653144256708,0.5639852285385132
stage1_adaptive_t_swa200,Stage1,adaptive_t,400e_swa200,42,399,90.02607561929595,90.02607561929595,0.0,False,0.06056713746105364,0.27815490620476857,0.16808227907923098,0.3868948221206665
stage1_ctkd_swa200,Stage1,ctkd,400e_swa200,42,316,89.60234680573663,89.60234680573663,0.0,False,0.07248697226874365,0.28168726281115886,0.17788090260255887,0.4377049505710602
primary_baseline_swa200,Primary,baseline,400e_swa200,42,243,89.60234680573663,89.60234680573663,0.0,False,0.06541968091370387,0.3500022367997603,0.17948471030015875,0.42624104022979736
primary_gate_swa200,Primary,gate,400e_swa200,42,308,89.21121251629727,89.21121251629727,0.0,False,0.06543961421840347,0.3314697742462158,0.18379509853134993,0.43471211194992065
primary_g2g_kl_swa200,Primary,g2g_kl,400e_swa200,42,293,89.21121251629727,89.21121251629727,0.0,False,0.057581520735284955,0.379046748081843,0.1812999706172687,0.41412439942359924
primary_logit_std_swa200,Primary,logit_std,400e_swa200,42,363,89.04823989569752,89.04823989569752,0.0,False,0.18397484471562472,0.3328262750433866,0.23432102172722996,0.5766471028327942
primary_adaptive_t_swa200,Primary,adaptive_t,400e_swa200,42,391,89.08083441981746,89.08083441981746,0.0,False,0.0665947145295501,0.7615411132574081,0.1851749767662911,0.43589502573013306
primary_ctkd_swa200,Primary,ctkd,400e_swa200,42,369,89.53715775749674,89.53715775749674,0.0,False,0.06966088174063968,0.2465399024916477,0.1832520396703234,0.44922900199890137
vae9182_baseline_swa200,VAE9182,baseline,400e_swa200,42,139,90.05867014341591,90.05867014341591,0.0,False,0.028509536391364523,0.2792397737503052,0.160558145402209,0.34158334136009216
vae9182_gate_swa200,VAE9182,gate,400e_swa200,42,398,90.09126466753585,90.09126466753585,0.0,False,0.03221450205965182,0.26111698150634766,0.15430869302559916,0.327137291431427
vae9182_g2g_kl_swa200,VAE9182,g2g_kl,400e_swa200,42,384,90.2542372881356,90.2542372881356,0.0,False,0.0261851566245068,0.2973044216632843,0.15236030076234508,0.32767218351364136
vae9182_logit_std_swa200,VAE9182,logit_std,400e_swa200,42,370,89.76531942633638,89.76531942633638,0.0,False,0.18205058594104365,0.2889456192845985,0.21472908128269613,0.5233346223831177
vae9182_adaptive_t_swa200,VAE9182,adaptive_t,400e_swa200,42,395,90.67796610169492,90.67796610169492,0.0,False,0.03472708041307359,0.26396578550338745,0.1477363100373921,0.32390719652175903
vae9182_ctkd_swa200,VAE9182,ctkd,400e_swa200,42,327,89.89569752281616,89.92829204693612,0.03259452411995767,False,0.0321451712307439,0.30557575821876526,0.1543394676254159,0.3243767023086548
stage1_baseline_noswa,Stage1,baseline,200e_noSWA,42,137,89.53715775749674,89.53715775749674,0.0,False,0.05794781927296204,0.3114172806174068,0.17285307316538193,0.3820190131664276
stage1_gate_noswa,Stage1,gate,200e_noSWA,42,144,89.01564537157758,89.01564537157758,0.0,False,0.06791806008273336,0.3767012357711792,0.18352125356862753,0.4204336702823639
