run_id,equal_width_ece,equal_width_mce,equal_mass_ece,equal_mass_mce,ece_scheme_delta,mce_scheme_delta,orig_ece_from_csv,orig_mce_from_csv
primary_adaptive_t_swa200,0.06659471453926402,0.7615411132574081,0.06571993612559242,0.25889432023211223,-0.0008747784136716036,-0.5026467930252959,0.0665947145295501,0.7615411132574081
primary_baseline_swa200,0.06541968001030883,0.3500022367997603,0.06667579005252586,0.3024573424967324,0.0012561100422170263,-0.047544894303027885,0.06541968091370387,0.3500022367997603
primary_ctkd_swa200,0.06966088372228041,0.24653996209629248,0.06985282989260115,0.27284542018292,0.00019194617032074202,0.026305458086627542,0.06966088174063968,0.2465399024916477
primary_g2g_kl_swa200,0.0575815206770014,0.379046748081843,0.060246066852063525,0.23562682198315132,0.0026645461750621283,-0.1434199260986917,0.057581520735284955,0.379046748081843
primary_gate_swa200,0.06543961464581619,0.3314697742462158,0.06705629994614339,0.28412686726626224,0.0016166853003272003,-0.04734290697995358,0.06543961421840347,0.3314697742462158
primary_logit_std_swa200,0.18397484471562472,0.3328262750433866,0.17851517702097067,0.3527105357588791,-0.005459667694654058,0.01988426071549254,0.18397484471562472,0.3328262750433866
stage1_adaptive_t_swa200,0.06056713985067923,0.27815490620476857,0.060697921601547876,0.2683300521315598,0.00013078175086864846,-0.009824854073208766,0.06056713746105364,0.27815490620476857
stage1_baseline_noswa,0.05794781927296204,0.3114172806174068,0.05573440087665323,0.19270334825283142,-0.002213418396308807,-0.11871393236457539,0.05794781927296204,0.3114172806174068
stage1_baseline_swa200,0.058116429943149396,0.2933061718940735,0.058241041107625346,0.24523611629710473,0.0001246111644759504,-0.04807005559696875,0.05811642995286332,0.2933062016963959
stage1_ctkd_swa200,0.07248697234645504,0.28168726281115886,0.07286411358682242,0.30841554199777,0.0003771412403673763,0.026728279186611137,0.07248697226874365,0.28168726281115886
stage1_g2g_kl_swa200,0.06230867649228199,0.3145062327384949,0.06281714543525369,0.20394268573499197,0.0005084689429716918,-0.1105635470035029,0.06230867649228199,0.3145062327384949
stage1_gate_noswa,0.06791806355060465,0.3767012357711792,0.06844251256100979,0.24247258959746942,0.0005244490104051452,-0.13422864617370978,0.06791806008273336,0.3767012357711792
stage1_gate_swa200,0.0677675522446166,0.30721695267635846,0.0678917948044885,0.22934781102573165,0.00012424255987189547,-0.0778691416506268,0.06776755306058632,0.30721695267635846
stage1_logit_std_swa200,0.18360451873115016,0.31800767862288093,0.18349522288106718,0.3485340382994675,-0.00010929585008298548,0.030526359676586567,0.18360449778792753,0.31800761901823615
vae9182_adaptive_t_swa200,0.03472708041307359,0.26396578550338745,0.030194121377719898,0.0647653230265075,-0.004532959035353692,-0.19920046247687995,0.03472708041307359,0.26396578550338745
vae9182_baseline_swa200,0.02850953697420003,0.27923980355262756,0.0302685037779839,0.14951157803628956,0.00175896680378387,-0.129728225516338,0.028509536391364523,0.2792397737503052
vae9182_ctkd_swa200,0.032145171716440164,0.30557575821876526,0.032498236080192054,0.16459966694436423,0.0003530643637518899,-0.14097609127440103,0.0321451712307439,0.30557575821876526
vae9182_g2g_kl_swa200,0.026185158402155108,0.2973044216632843,0.02881569626123063,0.12160149508831553,0.0026305378590755213,-0.17570292657496878,0.0261851566245068,0.2973044216632843
vae9182_gate_swa200,0.032214504934973666,0.26111698150634766,0.029046106175307035,0.10229104815459833,-0.003168398759666631,-0.15882593335174933,0.03221450205965182,0.26111698150634766
vae9182_logit_std_swa200,0.18205059136141388,0.2889456192845985,0.18205059365390017,0.3112446340118966,2.292486284138917e-09,0.022299014727298117,0.18205058594104365,0.2889456192845985
