run_id,teacher,condition,recipe,best_epoch,accuracy,ece,params_m,flops_g,size_mb
stage1_baseline_swa200,Stage1,baseline,400e_swa200,145,89.66753585397653,0.05811642995286332,2.248291,0.328584384,8.822779655456543
stage1_gate_swa200,Stage1,gate,400e_swa200,327,89.56975228161669,0.06776755306058632,2.248291,0.328584384,8.822779655456543
stage1_g2g_kl_swa200,Stage1,g2g_kl,400e_swa200,285,90.09126466753585,0.06230867649228199,2.248291,0.328584384,8.822779655456543
stage1_logit_std_swa200,Stage1,logit_std,400e_swa200,300,89.30899608865711,0.18360449778792753,2.248291,0.328584384,8.822779655456543
stage1_adaptive_t_swa200,Stage1,adaptive_t,400e_swa200,399,90.02607561929595,0.06056713746105364,2.248291,0.328584384,8.822779655456543
stage1_ctkd_swa200,Stage1,ctkd,400e_swa200,316,89.60234680573663,0.07248697226874365,2.248291,0.328584384,8.822779655456543
primary_baseline_swa200,Primary,baseline,400e_swa200,243,89.60234680573663,0.06541968091370387,2.248291,0.328584384,8.822779655456543
primary_gate_swa200,Primary,gate,400e_swa200,308,89.21121251629727,0.06543961421840347,2.248291,0.328584384,8.822779655456543
primary_g2g_kl_swa200,Primary,g2g_kl,400e_swa200,293,89.21121251629727,0.057581520735284955,2.248291,0.328584384,8.822779655456543
primary_logit_std_swa200,Primary,logit_std,400e_swa200,363,89.04823989569752,0.18397484471562472,2.248291,0.328584384,8.822779655456543
primary_adaptive_t_swa200,Primary,adaptive_t,400e_swa200,391,89.08083441981746,0.0665947145295501,2.248291,0.328584384,8.822779655456543
primary_ctkd_swa200,Primary,ctkd,400e_swa200,369,89.53715775749674,0.06966088174063968,2.248291,0.328584384,8.822779655456543
vae9182_baseline_swa200,VAE9182,baseline,400e_swa200,139,90.05867014341591,0.028509536391364523,2.248291,0.328584384,8.822779655456543
vae9182_gate_swa200,VAE9182,gate,400e_swa200,398,90.09126466753585,0.03221450205965182,2.248291,0.328584384,8.822779655456543
vae9182_g2g_kl_swa200,VAE9182,g2g_kl,400e_swa200,384,90.2542372881356,0.0261851566245068,2.248291,0.328584384,8.822779655456543
vae9182_logit_std_swa200,VAE9182,logit_std,400e_swa200,370,89.76531942633638,0.18205058594104365,2.248291,0.328584384,8.822779655456543
vae9182_adaptive_t_swa200,VAE9182,adaptive_t,400e_swa200,395,90.67796610169492,0.03472708041307359,2.248291,0.328584384,8.822779655456543
vae9182_ctkd_swa200,VAE9182,ctkd,400e_swa200,327,89.89569752281616,0.0321451712307439,2.248291,0.328584384,8.822779655456543
stage1_baseline_noswa,Stage1,baseline,200e_noSWA,137,89.53715775749674,0.05794781927296204,2.248291,0.328584384,8.822779655456543
stage1_gate_noswa,Stage1,gate,200e_noSWA,144,89.01564537157758,0.06791806008273336,2.248291,0.328584384,8.822779655456543
