run_name,timestamp,checkpoint,selection_independent,selection_rule,seed,epochs,swa_start,t_scale,student_head,ckpt_epoch,acc,ece,nll,brier,macro_f1,n_val,run_dir
RAFDB_stage1_ctkd_b070_T6_224_200e_noSWA,2026-07-20-00-00-00,last,True,"final epoch, fixed rule",42,200,,1.0,vich,200,87.45110321044922,0.0903253250086323,0.5430768132209778,0.2139284610748291,80.43633152270085,3068,results/unified_students/RAFDB_stage1_ctkd_b070_T6_224_200e_noSWA/2026-07-20-00-00-00
RAFDB_stage1_ctkd_b070_T6_224_400e_swa200,2026-07-18-22-50-12,best,False,argmax val_acc over epochs (PEEKS at eval set),42,400,200,1.0,vich,316,89.60234832763672,0.0724943082638794,0.4377221465110779,0.17787465453147888,83.79006038028724,3068,results/unified_students/RAFDB_stage1_ctkd_b070_T6_224_400e_swa200/2026-07-18-22-50-12
RAFDB_stage1_ctkd_b070_T6_224_400e_swa200,2026-07-18-22-50-12,last,True,"final epoch, fixed rule",42,400,200,1.0,vich,400,89.40678405761719,0.07594850648685106,0.4442663788795471,0.18195751309394836,83.16593112763586,3068,results/unified_students/RAFDB_stage1_ctkd_b070_T6_224_400e_swa200/2026-07-18-22-50-12
RAFDB_stage1_ctkd_b070_T6_224_400e_swa200,2026-07-18-22-50-12,swa,True,"SWA average over [swa_start, epochs], fixed rule",42,400,200,1.0,vich,,89.34159088134766,0.07866561179677076,0.45051756501197815,0.1831849068403244,83.50268217550294,3068,results/unified_students/RAFDB_stage1_ctkd_b070_T6_224_400e_swa200/2026-07-18-22-50-12
RAFDB_stage1_g2g_kl_b070_T6_224_200e_noSWA,2026-07-19-18-44-14,best,False,argmax val_acc over epochs (PEEKS at eval set),42,200,,1.0,vich,149,89.63494110107422,0.06832739622896777,0.41939347982406616,0.17771218717098236,83.5797126541185,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_200e_noSWA/2026-07-19-18-44-14
RAFDB_stage1_g2g_kl_b070_T6_224_200e_noSWA,2026-07-19-18-44-14,last,True,"final epoch, fixed rule",42,200,,1.0,vich,200,87.77705383300781,0.08482291209456819,0.50302654504776,0.20645920932292938,80.6142166393464,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_200e_noSWA/2026-07-19-18-44-14
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200,2026-07-18-10-33-06,best,False,argmax val_acc over epochs (PEEKS at eval set),42,400,200,1.0,vich,285,90.09126281738281,0.06229101398758191,0.4025321900844574,0.16775240004062653,84.75961425814558,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200/2026-07-18-10-33-06
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200,2026-07-18-10-33-06,last,True,"final epoch, fixed rule",42,400,200,1.0,vich,400,89.37418365478516,0.06375652744958112,0.4030153453350067,0.1752626895904541,83.0238796717568,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200/2026-07-18-10-33-06
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200,2026-07-18-10-33-06,swa,True,"SWA average over [swa_start, epochs], fixed rule",42,400,200,1.0,vich,,90.18904876708984,0.06828076917935537,0.4169062376022339,0.16986729204654694,84.6213284945334,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200/2026-07-18-10-33-06
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1,2026-07-22-03-01-52,best,False,argmax val_acc over epochs (PEEKS at eval set),1,400,200,1.0,vich,147,90.09126281738281,0.05741861471335611,0.39533665776252747,0.16626429557800293,84.36806496346901,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1/2026-07-22-03-01-52
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1,2026-07-22-03-01-52,last,True,"final epoch, fixed rule",1,400,200,1.0,vich,400,89.30899810791016,0.06650816359237866,0.40123286843299866,0.1734771877527237,82.77948406823229,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1/2026-07-22-03-01-52
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1,2026-07-22-03-01-52,swa,True,"SWA average over [swa_start, epochs], fixed rule",1,400,200,1.0,vich,,90.05867004394531,0.06786091552350325,0.40593448281288147,0.1667143553495407,83.95047106129881,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed1/2026-07-22-03-01-52
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43,2026-07-22-07-09-35,best,False,argmax val_acc over epochs (PEEKS at eval set),43,400,200,1.0,vich,299,89.34159088134766,0.0633394871067348,0.396117240190506,0.1739782691001892,82.37542562978943,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43/2026-07-22-07-09-35
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43,2026-07-22-07-09-35,last,True,"final epoch, fixed rule",43,400,200,1.0,vich,400,88.42894744873047,0.07527766511757339,0.4404800236225128,0.18933680653572083,80.67373903441414,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43/2026-07-22-07-09-35
RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43,2026-07-22-07-09-35,swa,True,"SWA average over [swa_start, epochs], fixed rule",43,400,200,1.0,vich,,89.79791259765625,0.07057230173570081,0.42330706119537354,0.17334617674350739,83.64625749209677,3068,results/unified_students/RAFDB_stage1_g2g_kl_b070_T6_224_400e_swa200_seed43/2026-07-22-07-09-35
RAFDB_stage1_gate_b070_T6_224_200e_noSWA,2026-07-19-16-32-23,best,False,argmax val_acc over epochs (PEEKS at eval set),42,200,,1.0,vich,144,89.0156478881836,0.06791800250829899,0.4204094707965851,0.18351680040359497,82.65431810761,3068,results/unified_students/RAFDB_stage1_gate_b070_T6_224_200e_noSWA/2026-07-19-16-32-23
RAFDB_stage1_gate_b070_T6_224_200e_noSWA,2026-07-19-16-32-23,last,True,"final epoch, fixed rule",42,200,,1.0,vich,200,87.22294616699219,0.0926721600580091,0.5273669958114624,0.2191981077194214,79.68634070907402,3068,results/unified_students/RAFDB_stage1_gate_b070_T6_224_200e_noSWA/2026-07-19-16-32-23
